Order,ID,Lon_ESRI_102020,Lat_ESRI_102020,Lon_EPSG_4326,Lat_EPSG_4326
1,GPZ SWAP,-1761282.674,263225.4593,-81.5,-74
2,GPZ SWAP,-1785723.017,266878.093,-81.5,-73.7763759
3,GPZ SWAP,-2294988.738,342988.365,-81.5,-69.1
4,GPZ SWAP,-2450324.512,587894.0816,-76.50833053,-67.27951597
5,GPZ SWAP,-2543384.393,777590.6436,-73,-66
6,GPZ SWAP,-2453806.316,1025809.897,-67.31270999,-65.99999999
7,GPZ SWAP,-2394484.287,1157538.931,-64.20000001,-66
8,GPZ SWAP,-2361626.756,1094367.923,-65.13719172,-66.51983261
9,GPZ SWAP,-2239326.616,988380.7726,-66.18457864,-67.93863275
10,GPZ SWAP,-1658911.29,709356.9511,-66.84825876,-73.78855273
1,GPZ-NWAP-Anvers,-2453806.316,1025809.897,-67.31270999,-65.99999999
2,GPZ-NWAP-Anvers,-2394484.287,1157538.931,-64.20000001,-66
3,GPZ-NWAP-Anvers,-2439862.37,1237812.828,-63.1,-65.3
4,GPZ-NWAP-Anvers,-2476608.678,1464662.29,-59.39999999,-64
5,GPZ-NWAP-Anvers,-2542005.49,1503337.856,-59.4,-63.3
6,GPZ-NWAP-Anvers,-2579455.869,1274846.495,-63.7,-64.00000001
1,GPZ-NWAP-Joinville,-2476608.678,1464662.29,-59.39999999,-64
2,GPZ-NWAP-Joinville,-2481616.429,1580964.025,-57.50000001,-63.4
3,GPZ-NWAP-Joinville,-2545610.22,1621732.567,-57.5,-62.7
4,GPZ-NWAP-Joinville,-2522719.162,1657116.756,-56.7,-62.7
5,GPZ-NWAP-Joinville,-2423145.717,1799586.826,-53.4,-62.7
6,GPZ-NWAP-Joinville,-2309942.659,1715514.816,-53.4,-64
1,GPZ-NWAP-Livingston,-2602384.784,1325981.277,-63,-63.6
2,GPZ-NWAP-Livingston,-2727911.463,1389940.314,-63.00000001,-62.3
3,GPZ-NWAP-Livingston,-2706897.314,1607238.009,-59.3,-61.5
4,GPZ-NWAP-Livingston,-2585979.826,1535442.459,-59.3,-62.8
1,GPZ-SOI,-2337386.589,2156878.266,-47.3,-61.2
2,GPZ-SOI,-2340468.93,2260164.573,-46.00000001,-60.52173913
3,GPZ-SOI,-2340395.849,2340395.849,-45,-60
4,GPZ-SOI,-2261512.895,2416705.379,-43.1,-60
5,GPZ-SOI,-2173143.609,2322271.9,-43.10000001,-61.2
1,KFZ-NWAP,-2543384.393,777590.6436,-73,-66
2,KFZ-NWAP,-2453806.316,1025809.897,-67.31270999,-65.99999999
3,KFZ-NWAP,-2579455.869,1274846.495,-63.7,-64.00000001
4,KFZ-NWAP,-2542005.49,1503337.856,-59.4,-63.3
5,KFZ-NWAP,-2476608.678,1464662.29,-59.39999999,-64
6,KFZ-NWAP,-2481616.429,1580964.025,-57.50000001,-63.4
7,KFZ-NWAP,-2545610.22,1621732.567,-57.5,-62.7
8,KFZ-NWAP,-2522719.162,1657116.756,-56.7,-62.7
9,KFZ-NWAP,-2423145.717,1799586.826,-53.4,-62.7
10,KFZ-NWAP,-2596650.268,1928442.677,-53.40000001,-60.7
11,KFZ-NWAP,-2754844.083,1694791.388,-58.4,-60.7
12,KFZ-NWAP,-2795348.958,1424301.434,-63.00000001,-61.6
13,KFZ-NWAP,-2715212.381,1158909.194,-66.88620114,-63.30994213
1,KFZ-SOI,-2425656.991,2057106.726,-49.69999999,-61.2
2,KFZ-SOI,-2516085.831,2133795.959,-49.7,-60.1
3,KFZ-SOI,-2466198.578,2457604.91,-45.10000001,-58.4
4,KFZ-SOI,-2378927.062,2542176.893,-43.10000001,-58.4
5,KFZ-SOI,-2261512.895,2416705.379,-43.1,-60
6,KFZ-SOI,-2340395.849,2340395.849,-45,-60
7,KFZ-SOI,-2340468.93,2260164.573,-46.00000001,-60.52173913
8,KFZ-SOI,-2337386.589,2156878.266,-47.3,-61.2
